deal_id,customer_id,deal_type,deal_date,amount_eur,owner
DEAL-000001,CUST-0001,signup,2024-01-15,4500.0,Connie Lawrence
DEAL-000002,CUST-0001,expansion,2024-04-10,1500.0,Abigail Shaffer
DEAL-000003,CUST-0001,expansion,2024-07-22,2000.0,Allison Hill
DEAL-000004,CUST-0001,expansion,2024-10-18,1500.0,Angie Henderson
DEAL-000005,CUST-0001,downgrade,2025-03-28,-3000.0,Gina Moore
DEAL-000006,CUST-0001,churn,2025-04-30,-6500.0,Connie Lawrence
DEAL-000007,CUST-0002,signup,2025-08-30,125.0,Angie Henderson
DEAL-000008,CUST-0002,expansion,2025-11-21,48.0,Connie Lawrence
DEAL-000009,CUST-0002,expansion,2025-12-16,24.0,Abigail Shaffer
DEAL-000010,CUST-0003,signup,2025-12-06,125.0,Connie Lawrence
DEAL-000011,CUST-0004,signup,2025-01-16,89.0,Cristian Santos
DEAL-000012,CUST-0005,signup,2024-12-09,89.0,Daniel Wagner
DEAL-000013,CUST-0005,churn,2025-09-13,-89.0,Noah Rhodes
DEAL-000014,CUST-0006,signup,22-04-2024,89.0,Allison Hill
DEAL-000015,CUST-0007,signup,2025-07-04,89.0,Abigail Shaffer
DEAL-000016,CUST-0007,expansion,2025-11-04,53.0,Noah Rhodes
DEAL-000017,CUST-0007,expansion,2025-12-05,31.0,Cristian Santos
DEAL-000018,CUST-0008,signup,2024-12-01,89.0,Cristian Santos
DEAL-000019,CUST-0009,signup,2024-10-28,89.0,Gina Moore
DEAL-000020,CUST-0010,signup,2025-11-21,125.0,Daniel Wagner
DEAL-000021,CUST-0011,signup,2025-08-07,89.0,Cristian Santos
DEAL-000022,CUST-0011,churn,2025-08-30,-89.0,Gina Moore
DEAL-000023,CUST-0012,signup,2024-01-04,89.0,Angie Henderson
DEAL-000024,CUST-0012,expansion,2024-09-24,27.0,Noah Rhodes
DEAL-000025,CUST-0012,churn,2025-08-26,-116.0,Gina Moore
DEAL-000026,CUST-0013,signup,2025-01-29,89.0,Angie Henderson
DEAL-000027,CUST-0013,churn,2025-09-03,-89.0,Gina Moore
DEAL-000028,CUST-0014,signup,2025-12-09,125.0,Noah Rhodes
DEAL-000029,CUST-0015,signup,2024-10-06,89.0,Noah Rhodes
DEAL-000030,CUST-0015,expansion,2025-11-11,42.0,Cristian Santos
DEAL-000031,CUST-0015,expansion,2025-11-19,40.0,Cristian Santos
DEAL-000032,CUST-0016,signup,2025-10-16,125.0,Angie Henderson
DEAL-000033,CUST-0017,signup,02/26/2025,89.0,Angie Henderson
DEAL-000034,CUST-0017,expansion,2025-10-26,60.0,Connie Lawrence
DEAL-000035,CUST-0018,signup,2025-09-02,125.0,Daniel Wagner
DEAL-000036,CUST-0019,signup,2025-08-16,125.0,Noah Rhodes
DEAL-000037,CUST-0020,signup,2024-05-16,89.0,Daniel Wagner
DEAL-000038,CUST-0020,churn,2025-09-30,-89.0,Angie Henderson
DEAL-000039,CUST-0021,signup,2025-12-02,125.0,Daniel Wagner
DEAL-000040,CUST-0022,signup,2025-09-12,125.0,Gina Moore
DEAL-000041,CUST-0023,signup,2024-02-17,89.0,Allison Hill
DEAL-000042,CUST-0023,churn,2025-09-13,-89.0,Connie Lawrence
DEAL-000043,CUST-0024,signup,18-12-2024,89.0,Connie Lawrence
DEAL-000044,CUST-0024,expansion,2025-11-26,56.0,Gina Moore
DEAL-000045,CUST-0025,signup,2024-06-23,89.0,Angie Henderson
DEAL-000046,CUST-0025,expansion,2025-10-07,55.0,Noah Rhodes
DEAL-000047,CUST-0026,signup,2025-10-09,125.0,Abigail Shaffer
DEAL-000048,CUST-0026,expansion,2025-12-09,39.0,Gina Moore
DEAL-000049,CUST-0027,signup,2024-08-04,89.0,Noah Rhodes
DEAL-000050,CUST-0027,expansion,2025-06-29,46.0,Angie Henderson
DEAL-000051,CUST-0027,expansion,2025-10-31,46.0,Connie Lawrence
DEAL-000052,CUST-0028,signup,2024-10-14,89.0,Noah Rhodes
DEAL-000053,CUST-0029,signup,2025-07-14,89.0,Connie Lawrence
DEAL-000054,CUST-0029,expansion,2025-11-08,49.0,Angie Henderson
DEAL-000055,CUST-0030,signup,2024-12-26,89.0,Noah Rhodes
DEAL-000056,CUST-0030,expansion,2025-05-28,28.0,Angie Henderson
DEAL-000057,CUST-0030,expansion,2025-10-03,52.0,Cristian Santos
DEAL-000058,CUST-0030,expansion,2025-12-03,60.0,Angie Henderson
DEAL-000059,CUST-0030,downgrade,2025-12-14,-16.0,Angie Henderson
DEAL-000060,CUST-0031,signup,2025-10-07,125.0,Connie Lawrence
DEAL-000061,CUST-0031,expansion,2025-12-11,34.0,Cristian Santos
DEAL-000062,CUST-0032,signup,2024-07-23,89.0,Daniel Wagner
DEAL-000063,CUST-0032,expansion,2024-10-31,36.0,Cristian Santos
DEAL-000064,CUST-0032,churn,2025-10-19,-125.0,Angie Henderson
DEAL-000065,CUST-0033,signup,12/13/2025,125.0,Cristian Santos
DEAL-000066,CUST-0034,signup,2025-11-29,125.0,Noah Rhodes
DEAL-000067,CUST-0035,signup,2024-01-14,89.0,Angie Henderson
DEAL-000068,CUST-0036,signup,2025-10-16,125.0,Connie Lawrence
DEAL-000069,CUST-0036,expansion,2025-12-15,30.0,Allison Hill
DEAL-000070,CUST-0037,signup,2025-02-12,89.0,Cristian Santos
DEAL-000071,CUST-0037,expansion,2025-05-03,22.0,Daniel Wagner
DEAL-000072,CUST-0037,expansion,11/10/2025,21.0,Abigail Shaffer
DEAL-000073,CUST-0038,signup,2025-10-07,125.0,Allison Hill
DEAL-000074,CUST-0038,expansion,2025-12-15,60.0,Gina Moore
DEAL-000075,CUST-0039,signup,2025-11-11,125.0,Cristian Santos
DEAL-000076,CUST-0040,signup,2025-09-26,125.0,Gina Moore
DEAL-000077,CUST-0040,expansion,2025-12-15,39.0,Daniel Wagner
DEAL-000078,CUST-0041,signup,2025-03-17,89.0,Abigail Shaffer
DEAL-000079,CUST-0041,churn,2025-09-03,-89.0,Cristian Santos
DEAL-000080,CUST-0042,signup,2024-01-25,89.0,Allison Hill
DEAL-000081,CUST-0042,expansion,2025-07-02,24.0,Angie Henderson
